x1,x2,r
19674,34721,10750
21340,59440,17320
56090,9716,18040
44185,10763,1550
44431,57859,3668
39283,3200,53760
44988,31393,54705
6965,47270,30240
59088,34566,19113
29666,14930,39243
54543,42764,35407
8556,39702,35394
56369,51218,25523
5244,46712,24868
38687,18255,15233
133,53249,53484
5157,10309,50337
54161,20864,40464
36406,1307,26405
46263,52347,34596
54735,29954,20514
1139,3781,57268
24925,51260,26234
36063,9947,43619
24027,1901,52251
14166,4517,50834
48164,58705,50477
27402,56600,15278
27682,4766,15072
21461,21277,43472
17848,13523,47127
25616,5486,26332
37879,31767,26928
31957,58729,19295
55157,3296,41989
10667,14601,12313
21386,36231,45372
19494,8386,57398
58674,36363,40373
19348,25478,10977
28390,52992,18813
41441,50071,41675
53465,51842,18444
45830,56650,42195
41800,41131,7943
56772,47657,43540
48132,50445,30360
56389,58888,46440
44424,1876,58703
40280,40802,29881
9164,33327,37654
6574,54801,35465
29042,59683,12359
58568,2933,45136
14504,40095,33302
46382,56970,51993
8333,54661,47158
56673,5804,43699
22969,3811,17963
40169,43409,11081
24994,18104,51396
27227,48235,18144
58107,41326,43402
48480,29826,28956
10492,57610,55160
14696,38591,38222
14812,16392,19612
9215,47424,23833
52856,49719,32584
28739,52200,54326
51137,35098,35557
813,18631,3776
54254,36235,13167
52047,27063,30006
17092,20360,34726
57808,59018,45721
31470,14634,35358
45406,48295,35171
12045,38028,39364
56381,28511,17599
46180,8174,35936
6049,27773,44494
11465,48692,5789
55611,43230,42435
35833,42370,56420
15369,56696,51172
41104,40310,50009
54648,46567,54409
7311,52134,12673
43372,4197,50499
9383,41362,12997
17537,52724,21738
14611,22026,8451
47377,52781,46825
28162,34630,17820
41802,2869,32564
46349,16838,15651
28931,35218,17575
34393,5361,7446
22457,50489,10839
28761,22561,57739
640,14330,40858
44707,52624,36497
13708,33837,57249
17151,8533,1262
46570,36848,34015
12318,44396,45134
49266,5217,3457
11618,780,16899
12770,46055,21883
59364,56873,32319
11394,320,15508
54208,29374,47406
25262,52644,43473
31741,12512,39156
16910,54832,31558
48479,14325,40550
59055,11825,49426
39776,54955,10102
33272,55310,11728
40612,8209,12181
31215,35498,29816
13942,32847,43567
20789,9020,26095
18862,58503,7421
58738,29981,179
33842,11663,34414
35944,14610,1845
15690,32795,3014
39432,36960,47507
59234,25898,11348
42643,83,24752
23028,45423,22488
31066,23738,57568
41117,10539,11810
30905,25513,31730
47859,961,45468
36684,47900,56575
32230,4162,9993
36241,1888,12213
58934,49077,22674
11565,24738,53918
30428,34533,30817
5483,11327,23576
51727,53227,56443
6124,7811,18965
53275,37682,35368
33126,2654,31641
11111,59367,15419
13315,37838,24502
4417,23994,9392
21142,37127,16028
44131,44690,31646
19222,26451,33084
28066,11054,58256
10557,46753,5582
16207,40862,39151
20030,55785,8919
42942,36461,3422
550,13673,7423
27543,23112,27511
53146,23493,2582
27515,42947,19730
5991,40962,44790
19390,56366,40032
25279,49646,33408
30378,59527,11757
17604,58883,38424
28827,50972,45198
42661,16735,49992
46519,41708,22538
48686,59135,3697
43440,15889,15993
59224,3540,12634
37242,48645,42018
57628,33124,43831
54352,44825,56098
56020,22755,52919
3219,15576,30887
30548,33754,38584
39480,8055,8265
25386,33629,9460
24330,21192,50359
15196,3309,39524
36588,41698,32389
54649,33135,36618
51604,19352,55480
52163,29748,54555
9044,52988,14013
22693,2044,16155
47389,16538,43005
15724,27069,4157
46897,14840,23871
12956,38495,39645
15572,2035,26200
42158,52223,11317
50400,34829,51771
56893,9333,50510
5274,3514,56520
380,36405,36263
40624,32982,45686
10982,57244,31000
40057,4474,33358
24331,410,58618
29399,5747,41828
49105,37757,46909
15797,42350,34925
3670,19747,28471
43775,6196,33505
31389,35843,8631
31390,42514,51438
33934,53527,42397
38333,15493,43800
34156,52958,57060
49727,59456,26751
38011,13513,46453
28544,38741,11509
25176,39823,21375
5677,55466,56288
41679,6615,5610
6880,1851,46940
11122,49077,16119
12641,2636,47467
22866,38003,27988
48145,52624,20222
38000,35784,7832
37120,56713,3383
42398,45120,40172
7591,34233,58617
20157,5731,35205
52118,27451,44849
4605,54588,43369
